model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,1024,3,k=3,,0.5445095274032776,3,0.006667,0.6843359470367432,0.06088612973690033,3.7960920333862305,2.137968063354492,0.5632023811340332,3.0,0.4728742241859436
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.006667,0.8440882563591003,0.016372904181480408,0.27450570464134216,2.053938627243042,7.482316970825195,6.062675476074219,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.006667,0.6246633529663086,0.03627876192331314,1.347736120223999,2.1779747009277344,1.6160246133804321,3.0,0.4160248935222626
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.006667,0.8555688261985779,0.014977747574448586,0.2297169268131256,2.0482637882232666,8.916468620300293,5.514199256896973,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.006667,0.5643262267112732,0.12287723273038864,15.461186408996582,2.2213246822357178,0.14367103576660156,3.0,0.42942652106285095
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.006667,0.864370584487915,0.015563097782433033,0.24802306294441223,2.0360310077667236,8.209039688110352,6.072324275970459,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.006667,0.6178119778633118,0.06579970568418503,4.433511257171631,2.2120790481567383,0.4989451766014099,3.0,0.44413435459136963
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.006667,0.8363845348358154,0.022087374702095985,0.49956056475639343,2.0489349365234375,4.101474761962891,5.189082145690918,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.006667,0.5761238932609558,0.057726241648197174,3.412294864654541,2.220757007598877,0.6508104205131531,3.0,0.4241916835308075
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.006667,0.8628300428390503,0.02439081110060215,0.6091895699501038,2.0554120540618896,3.3740105628967285,5.291894435882568,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.008333,0.501819372177124,0.05398000776767731,2.9837732315063477,2.2435269355773926,0.7519093155860901,3.0,0.44126686453819275
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.008333,0.813444197177887,0.02550220489501953,0.6659712195396423,2.064908981323242,3.100597858428955,5.357324123382568,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.008333,0.5793452858924866,0.06266562640666962,4.021228313446045,2.2045094966888428,0.5482179522514343,3.0,0.44568419456481934
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.008333,0.8301261067390442,0.014392419718205929,0.212113156914711,2.0604684352874756,9.714006423950195,5.823593616485596,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.008333,0.37090376019477844,0.13279591500759125,18.0579891204834,2.2657859325408936,0.1254727691411972,3.0,0.4241010844707489
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.008333,0.8394522070884705,0.017255987972021103,0.3049156069755554,2.0550711154937744,6.739803314208984,6.57373046875,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.008333,0.41376793384552,0.14138077199459076,20.468246459960938,2.2555713653564453,0.11019856482744217,3.0,0.44225218892097473
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.008333,0.8298187255859375,0.015400342643260956,0.24286265671253204,2.061405897140503,8.48794937133789,4.675038814544678,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.008333,0.49369093775749207,0.10004585236310959,10.24939250946045,2.2451651096343994,0.2190534770488739,3.0,0.44685569405555725
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.008333,0.801967442035675,0.02961421012878418,0.8980494737625122,2.051267623901367,2.2841365337371826,5.684628963470459,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.008333,0.5057072043418884,0.06281016021966934,4.039798736572266,2.2429418563842773,0.5552113056182861,3.0,0.43878990411758423
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.008333,0.8319436311721802,0.02236386202275753,0.5121457576751709,2.0589756965637207,4.020292282104492,6.33132791519165,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.008333,0.4228125810623169,0.07922692596912384,6.427551746368408,2.264714241027832,0.3523447811603546,3.0,0.42097243666648865
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.008333,0.8209016919136047,0.023956306278705597,0.5876783728599548,2.059075355529785,3.5037453174591064,5.416640281677246,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.008333,0.5359464287757874,0.06704926490783691,4.603498935699463,2.2374331951141357,0.4860288202762604,3.0,0.4373016953468323
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.008333,0.8244187235832214,0.018256302922964096,0.3412916362285614,2.0662283897399902,6.054142951965332,5.247265338897705,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.01,0.5303995609283447,0.05979054048657417,3.6607067584991455,2.2274858951568604,0.608485221862793,3.0,0.43830782175064087
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.01,0.769642174243927,0.0355776809155941,1.2961499691009521,2.0801470279693604,1.6048660278320312,4.5771484375,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.01,0.4925714135169983,0.0753152072429657,5.8085174560546875,2.2505414485931396,0.38745540380477905,3.0,0.45452478528022766
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.01,0.7999809384346008,0.027757534757256508,0.7889723181724548,2.0846920013427734,2.6422877311706543,5.145410060882568,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.01,0.5022146105766296,0.06798132508993149,4.732375621795654,2.22086501121521,0.4692917764186859,3.0,0.45426496863365173
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.01,0.8133575916290283,0.02814200520515442,0.8109798431396484,2.0706396102905273,2.5532567501068115,5.71533203125,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.01,0.37204641103744507,0.16062098741531372,26.41827964782715,2.2649786472320557,0.08573528379201889,3.0,0.4349816143512726
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.01,0.801158607006073,0.026201797649264336,0.7030110955238342,2.0721616744995117,2.947551965713501,5.330117225646973,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.01,0.4556472599506378,0.08902949094772339,8.116479873657227,2.2603907585144043,0.2784939706325531,3.0,0.4450933635234833
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.01,0.7978011965751648,0.017462903633713722,0.3122718632221222,2.0706100463867188,6.63079309463501,5.166074275970459,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.01,0.2010975033044815,0.10138764977455139,10.526162147521973,2.3254458904266357,0.22092057764530182,3.0,0.4258352816104889
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.01,0.7812866568565369,0.026166805997490883,0.7011345624923706,2.06600284576416,2.9466567039489746,4.929374694824219,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.01,0.4332633912563324,0.06384526193141937,4.174046993255615,2.286391019821167,0.5477635860443115,3.0,0.44655412435531616
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.01,0.8068941831588745,0.03128095343708992,1.0019819736480713,2.065098524093628,2.061013698577881,5.530722618103027,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.01,0.46614450216293335,0.04752662405371666,2.312990665435791,2.2614924907684326,0.9777352213859558,3.0,0.4472462236881256
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.01,0.807105302810669,0.012526688165962696,0.16068395972251892,2.0752716064453125,12.915237426757812,4.945722579956055,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.011667,0.40777280926704407,0.0824226438999176,6.956536769866943,2.2709271907806396,0.326445072889328,3.0,0.45419105887413025
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.011667,0.6450446248054504,0.11269669234752655,13.005358695983887,2.101599931716919,0.1615949273109436,6.183574199676514,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.011667,0.31911003589630127,0.1311575174331665,17.615148544311523,2.301833152770996,0.13067349791526794,3.0,0.4543307423591614
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.011667,0.7497638463973999,0.03621044009923935,1.3426645994186401,2.0919015407562256,1.558022379875183,5.334609031677246,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.011667,0.36141034960746765,0.12598755955696106,16.253814697265625,2.2630183696746826,0.13922998309135437,3.0,0.46250730752944946
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.011667,0.7734090089797974,0.01245117001235485,0.15875239670276642,2.0878849029541016,13.151832580566406,5.923281192779541,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.011667,0.4664112627506256,0.029075639322400093,0.8656821846961975,2.2368576526641846,2.5839250087738037,3.0,0.4590074419975281
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.011667,0.768616795539856,0.02653292752802372,0.7208921909332275,2.08591890335083,2.893523931503296,5.341269493103027,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.011667,0.2991040050983429,0.09810184687376022,9.854947090148926,2.287200689315796,0.23208655416965485,3.0,0.44395941495895386
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.011667,0.7103438973426819,0.026972968131303787,0.745002031326294,2.086977481842041,2.801304578781128,5.83154296875,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.011667,0.17742599546909332,0.05643274262547493,3.2610862255096436,2.309089183807373,0.708073616027832,3.0,0.4396441876888275
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.011667,0.7526212334632874,0.014937878586351871,0.22849558293819427,2.073824644088745,9.075994491577148,4.786874771118164,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.011667,0.22211125493049622,0.08258582651615143,6.9841084480285645,2.324972152709961,0.33289462327957153,3.0,0.43435418605804443
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.011667,0.7639495730400085,0.020426271483302116,0.42724618315696716,2.080183267593384,4.868816375732422,4.74267578125,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.011667,0.3391728103160858,0.09784317761659622,9.803047180175781,2.290989637374878,0.23370178043842316,3.0,0.45667919516563416
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.011667,0.741563081741333,0.020303120836615562,0.4221099019050598,2.0849621295928955,4.939382076263428,4.809179782867432,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.013333,0.31736528873443604,0.15533196926116943,24.70709228515625,2.3167824745178223,0.09376993030309677,3.0,0.46235647797584534
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.013333,0.7226486802101135,0.02173762209713459,0.48386475443840027,2.1028077602386475,4.345858097076416,5.247519493103027,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.013333,0.4795028865337372,0.05676961690187454,3.3001363277435303,2.258549451828003,0.6843806505203247,3.0,0.47245749831199646
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.013333,0.7214081287384033,0.02303079515695572,0.5431475639343262,2.100356101989746,3.8670082092285156,5.552812576293945,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.013333,0.25828543305397034,0.13427801430225372,18.463321685791016,2.3144803047180176,0.1253555715084076,3.0,0.4560965299606323
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.013333,0.7012079358100891,0.02043093554675579,0.4274412989616394,2.0982425212860107,4.908843994140625,4.652245998382568,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.013333,0.22943618893623352,0.07139676064252853,5.219837665557861,2.3031039237976074,0.44122135639190674,3.0,0.4376947581768036
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.013333,0.7272791266441345,0.02403333969414234,0.5914638042449951,2.093566656112671,3.5396361351013184,5.104355335235596,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.013333,0.42475631833076477,0.08142618089914322,6.789348125457764,2.2695159912109375,0.3342759907245636,3.0,0.4567698538303375
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.013333,0.7004322409629822,0.03724973648786545,1.4208438396453857,2.0948803424835205,1.4743916988372803,5.013339519500732,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.013333,0.2620442509651184,0.07396844029426575,5.602642059326172,2.2945587635040283,0.40954941511154175,3.0,0.44162094593048096
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.013333,0.7146206498146057,0.025059398263692856,0.6430448293685913,2.088054656982422,3.2471370697021484,4.850507736206055,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.013333,0.37845441699028015,0.11846110969781876,14.369826316833496,2.2914066314697266,0.15945959091186523,3.0,0.4599340856075287
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.013333,0.7075064182281494,0.03564455360174179,1.3010270595550537,2.095021963119507,1.6102831363677979,5.222304344177246,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.013333,0.30521589517593384,0.10549888759851456,11.397135734558105,2.3187243938446045,0.20344799757003784,3.0,0.44899213314056396
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.013333,0.7263106107711792,0.01832720823585987,0.3439478278160095,2.097842216491699,6.099303722381592,5.656269550323486,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.015,0.22740985453128815,0.10663941502571106,11.644892692565918,2.347538471221924,0.20159383118152618,3.0,0.46692588925361633
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.015,0.6672428846359253,0.03382400795817375,1.1715210676193237,2.1110141277313232,1.8019429445266724,4.666425704956055,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.015,0.3603246510028839,0.11621160805225372,13.82926082611084,2.2995479106903076,0.1662813425064087,3.0,0.4637245833873749
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.015,0.7002227902412415,0.028279710561037064,0.8189358115196228,2.109421968460083,2.5758087635040283,4.839804649353027,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.015,0.15857157111167908,0.04866888374090195,2.4255082607269287,2.330747365951538,0.9609315395355225,3.0,0.4576602578163147
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.015,0.6919163465499878,0.02862486243247986,0.8390479683876038,2.1098196506500244,2.514539957046509,4.884941101074219,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.015,0.27372679114341736,0.07324541360139847,5.493647575378418,2.298173666000366,0.41833293437957764,3.0,0.45447027683258057
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.015,0.6774455308914185,0.04055784270167351,1.6844171285629272,2.111259937286377,1.2534067630767822,5.541543006896973,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.015,0.347023069858551,0.04263927415013313,1.861742377281189,2.2907071113586426,1.2304103374481201,3.0,0.46367186307907104
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.015,0.6945518255233765,0.030137861147522926,0.9300897121429443,2.1160190105438232,2.2750699520111084,5.307578086853027,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.015,0.2672063410282135,0.06181143596768379,3.912349224090576,2.3222522735595703,0.5935697555541992,3.0,0.46629682183265686
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.015,0.6691579818725586,0.037972528487443924,1.4765187501907349,2.0996878147125244,1.4220529794692993,4.697832107543945,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.015,0.27637043595314026,0.13707882165908813,19.2415771484375,2.309116840362549,0.12000662833452225,3.0,0.45532622933387756
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.015,0.649485170841217,0.032445624470710754,1.0779838562011719,2.104295253753662,1.9520655870437622,4.816855430603027,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.015,0.24871711432933807,0.05559277534484863,3.1647300720214844,2.333838701248169,0.7374527454376221,3.0,0.4546946585178375
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.015,0.6772752404212952,0.02308848686516285,0.545872151851654,2.110517740249634,3.8663222789764404,4.375800609588623,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.016667,0.3729029893875122,0.06620284914970398,4.488004684448242,2.3184309005737305,0.5165839195251465,3.0,0.4904882311820984
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.016667,0.6018316745758057,0.05264439061284065,2.8379461765289307,2.1185262203216553,0.74649977684021,4.704784870147705,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.016667,0.26545408368110657,0.10997173190116882,12.384033203125,2.3495500087738037,0.1897241473197937,3.0,0.4847239553928375
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.016667,0.6643810868263245,0.039847224950790405,1.625908613204956,2.1258342266082764,1.3074746131896973,4.613925457000732,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.016667,0.2527851164340973,0.08348250389099121,7.136592388153076,2.3204991817474365,0.3251550793647766,3.0,0.46166977286338806
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.016667,0.6336280107498169,0.0706939697265625,5.117580413818359,2.1217596530914307,0.4146021008491516,4.870507717132568,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.016667,0.24769335985183716,0.11101806163787842,12.620810508728027,2.3183419704437256,0.18369199335575104,3.0,0.47072431445121765
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.016667,0.6396518349647522,0.07479514926671982,5.728578090667725,2.1192843914031982,0.36994946002960205,5.0009765625,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.016667,0.2555118203163147,0.07497315853834152,5.75587797164917,2.334146499633789,0.40552395582199097,3.0,0.46949294209480286
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.016667,0.6671541333198547,0.03682546317577362,1.388661503791809,2.117995500564575,1.525206446647644,4.885820388793945,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.016667,0.31751298904418945,0.08304860442876816,7.062601089477539,2.313669443130493,0.327594518661499,3.0,0.483761191368103
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.016667,0.6411761045455933,0.03266138583421707,1.092368483543396,2.1041159629821777,1.9261960983276367,4.536835670471191,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.016667,0.19431498646736145,0.09839818626642227,9.914575576782227,2.3499114513397217,0.23701582849025726,3.0,0.473520427942276
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.016667,0.6261842846870422,0.03033807873725891,0.9424885511398315,2.106595039367676,2.2351412773132324,5.095781326293945,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.016667,0.24102123081684113,0.06510188430547714,4.339973449707031,2.335728168487549,0.5381894707679749,3.0,0.4682381749153137
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.016667,0.6508389711380005,0.05075816437602043,2.6382248401641846,2.1244163513183594,0.8052446246147156,4.75955057144165,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.018333,0.2579086124897003,0.11573926359415054,13.717070579528809,2.347120523452759,0.17110945284366608,3.0,0.49111998081207275
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.018333,0.5938971638679504,0.033060815185308456,1.1192500591278076,2.1362807750701904,1.9086716175079346,4.641718864440918,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.018333,0.2473946511745453,0.05715608969330788,3.345222234725952,2.3391225337982178,0.6992427706718445,3.0,0.48821327090263367
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.018333,0.5970832109451294,0.032848190516233444,1.1048996448516846,2.1364853382110596,1.933646559715271,4.122714519500732,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.018333,0.19599533081054688,0.05503435060381889,3.101470708847046,2.3310470581054688,0.7515941262245178,3.0,0.48020049929618835
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.018333,0.6228712797164917,0.04146040976047516,1.7602208852767944,2.1287922859191895,1.209389328956604,4.44021463394165,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.018333,0.23528017103672028,0.06313032656908035,4.081088542938232,2.3179564476013184,0.5679750442504883,3.0,0.4685448408126831
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.018333,0.6245783567428589,0.03852080553770065,1.5194650888442993,2.1407930850982666,1.4089123010635376,4.499980449676514,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.018333,0.2255060076713562,0.06600417196750641,4.4611077308654785,2.343787908554077,0.5253824591636658,3.0,0.4841366410255432
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.018333,0.5288442969322205,0.03533492237329483,1.278522253036499,2.1433465480804443,1.6764249801635742,4.572128772735596,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.018333,0.23776517808437347,0.07314223796129227,5.478182315826416,2.3215911388397217,0.4237886071205139,3.0,0.4776759147644043
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,5,0.018333,0.5726174116134644,0.03861511871218681,1.526914358139038,2.12306547164917,1.3904286623001099,4.607148170471191,
topological,count,1024,3,k=3,,0.5445095274032776,6,0.018333,0.127903014421463,0.06400591880083084,4.195080280303955,2.361910343170166,0.5630191564559937,3.0,0.4862390160560608
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,6,0.018333,0.6403122544288635,0.05665193498134613,3.286468267440796,2.1261708736419678,0.6469470262527466,4.582206726074219,
topological,count,1024,3,k=3,,0.5445095274032776,7,0.018333,0.21732071042060852,0.10868025571107864,12.09487247467041,2.3299760818481445,0.19264164566993713,3.0,0.47271376848220825
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,7,0.018333,0.5956586003303528,0.03915628045797348,1.5700113773345947,2.137836456298828,1.3616693019866943,4.163496017456055,
topological,count,1024,3,k=3,,0.5445095274032776,0,0.02,0.24107053875923157,0.12205195426940918,15.254199981689453,2.351982593536377,0.15418589115142822,3.0,0.48759058117866516
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,0,0.02,0.6048240661621094,0.06015767902135849,3.705801010131836,2.143944025039673,0.5785372853279114,4.428124904632568,
topological,count,1024,3,k=3,,0.5445095274032776,1,0.02,0.1857428252696991,0.05076073482632637,2.6384918689727783,2.3690133094787598,0.897866427898407,3.0,0.48379674553871155
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,1,0.02,0.5343077182769775,0.04286065325140953,1.881124496459961,2.148900032043457,1.1423487663269043,4.316659927368164,
topological,count,1024,3,k=3,,0.5445095274032776,2,0.02,0.25098517537117004,0.04551736265420914,2.121554136276245,2.3502135276794434,1.1077791452407837,3.0,0.49118971824645996
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,2,0.02,0.526026725769043,0.07388364523649216,5.589804172515869,2.1522276401519775,0.38502737879753113,4.523554801940918,
topological,count,1024,3,k=3,,0.5445095274032776,3,0.02,0.1945703774690628,0.06688526272773743,4.581006050109863,2.343013048171997,0.5114625096321106,3.0,0.4878346025943756
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,3,0.02,0.5915734171867371,0.05270824581384659,2.8448352813720703,2.150254964828491,0.7558451294898987,4.867421627044678,
topological,count,1024,3,k=3,,0.5445095274032776,4,0.02,0.15565048158168793,0.047851379960775375,2.3447089195251465,2.3696606159210205,1.0106416940689087,3.0,0.49657943844795227
metric,count,1024,3,k=3,0.5445095274032776,0.5445095274032776,4,0.02,0.6082075238227844,0.06477653980255127,4.296703815460205,2.1393051147460938,0.4978944659233093,4.646777153015137,
topological,count,1024,3,k=3,,0.5445095274032776,5,0.02,0.21398776769638062,0.05806412175297737,3.4523568153381348,2.363410234451294,0.6845787763595581,3.0,0.47394514083862305
